Población por distritos y secciones censales de Bizkaia, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
15;962;454;508;0,894;11,1;48,2;40,6;0,2;2,6
16;1755;835;920;0,908;22,4;63,1;14,5;0,9;3,3
17;588;261;327;0,798;10,2;54,6;35,2;2;2,9
18;608;297;311;0,955;11,3;49,8;38,8;1,8;3,8
03;00;3363;1610;1753;0,918;15;52,2;32,7;1,9;4,5
01;1227;596;631;0,945;12,1;47,5;40,3;1,5;2,4
02;1175;547;628;0,871;13,5;51,1;35,4;2,5;7
03;961;467;494;0,945;20,5;59,7;19,8;1,7;4,1
04;00;2052;1025;1027;0,998;14,2;59,2;26,7;2,3;5,3
01;806;423;383;1,104;18,6;63,5;17,9;3,8;11,2
02;1246;602;644;0,935;11,3;56,3;32,3;1,3;1,5
05;00;4369;2146;2223;0,965;18,7;63,1;18,2;1,3;3,1
01;1063;525;538;0,976;21,4;64,5;14;1,5;2,2
02;1089;552;537;1,028;17,6;63;19,4;1,5;4,4
03;1109;537;572;0,939;18,5;63,4;18,1;1,9;3,9
04;1108;532;576;0,924;17,4;61,6;21;0,2;2,1
016;Berango;01;00;7230;3518;3712;0,948;23,9;59,3;16,8;1,7;2,8
01;1437;683;754;0,906;25,8;57,6;16,6;1,9;3,3
02;1354;676;678;0,997;22,7;61,1;16,2;1,6;1,8
03;1809;866;943;0,918;25,2;60,1;14,6;1,5;3,5
04;1418;698;720;0,969;27,6;57,8;14,5;2,2;2,4
05;1212;595;617;0,964;16,9;59,7;23,3;1,3;2,7
017;Bermeo;03;00;16880;8310;8570;0,97;18,5;58,9;22,7;3,3;4,9
01;00;3313;1629;1684;0,967;16;62,8;21,1;3,3;7,1
01;1247;628;619;1,015;13,6;62,6;23,7;1,8;5,9
02;798;387;411;0,942;17,7;63,4;18,9;4,3;7,4
03;1268;614;654;0,939;17,4;62,7;20;4;8,1
02;00;7566;3734;3832;0,974;17,9;58,1;24;2,5;4,8
01;1191;584;607;0,962;19,9;54,1;26;1,5;3,9
02;1930;929;1001;0,928;19,5;61,9;18,6;1,6;3
03;1657;838;819;1,023;17,5;59;23,5;4;7,8
04;1099;545;554;0,984;15,7;57,9;26,5;3,2;7,6
05;910;443;467;0,949;16,9;54,3;28,8;3,3;4,2
06;779;395;384;1,029;15,9;57,5;26,6;1,3;0,6
03;00;6001;2947;3054;0,965;20,5;57,7;21,8;4,5;3,7
01;1022;521;501;1,04;16;61,6;22,3;2,3;4
02;2408;1195;1213;0,985;26,2;60,6;13,2;6,9;2,9
03;1710;826;884;0,934;16,8;50,4;32,9;1,8;3,3
04;861;405;456;0,888;17,3;59,6;23,1;5,7;6,6
018;Berriatua;01;00;1251;683;568;1,202;20,1;58;21,9;1;13,2
01;1251;683;568;1,202;20,1;58;21,9;1;13,2
019;Berriz;01;00;4701;2349;2352;0,999;21;58,4;20,6;2,6;5,1
