Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
01;803;410;393;1,043;18,6;60,4;21;4,7;13,1
02;709;331;378;0,876;17,6;54;28,3;3,1;7,2
03;1710;819;891;0,919;20,2;57,9;21,9;2,4;8,5
04;1704;861;843;1,021;23,1;62,7;14,2;1,9;3,1
05;1070;492;578;0,851;14,5;47,2;38,3;2;8,3
06;1614;792;822;0,964;21,9;62,8;15,2;2;4,2
07;868;454;414;1,097;16,7;59,7;23,6;4,4;2,4
08;1080;516;564;0,915;18,3;58,3;23,3;1,2;3,9
09;1211;604;607;0,995;18,7;65,5;15,9;1,9;5
046;Irura;01;00;1811;938;873;1,074;27;62,9;10,1;2,4;6,4
01;1811;938;873;1,074;27;62,9;10,1;2,4;6,4
047;Itsasondo;01;00;718;358;360;0,994;23;58,4;18,7;1,8;9,9
01;718;358;360;0,994;23;58,4;18,7;1,8;9,9
048;Larraul;01;00;246;139;107;1,299;26,8;62,2;11;0,8;1,2
01;246;139;107;1,299;26,8;62,2;11;0,8;1,2
049;Lazkao;01;00;5549;2780;2769;1,004;22;59,6;18,4;6;4,3
01;1294;653;641;1,019;19,8;59;21,3;9;3,4
02;2349;1154;1195;0,966;21,5;59;19,4;4,1;4,5
03;1906;973;933;1,043;24,1;60,7;15,3;6,2;4,6
050;Leaburu;01;00;363;194;169;1,148;22,3;55,9;21,8;2,5;7,4
01;363;194;169;1,148;22,3;55,9;21,8;2,5;7,4
051;Legazpi;01;00;8430;4251;4179;1,017;17,8;56,7;25,5;1,4;3
01;1454;737;717;1,028;18,6;52,5;28,8;1,4;2,9
02;2327;1160;1167;0,994;20,6;55,7;23,6;1,1;2,8
03;1014;519;495;1,048;18;61;20,9;1;4,1
04;1021;514;507;1,014;16,8;59,1;24,1;0,9;3,6
05;1199;590;609;0,969;16,9;56;27,1;2,8;2
06;720;369;351;1,051;11,9;55,1;32,9;1,3;0,1
07;695;362;333;1,087;15;61,7;23,3;2,2;6,5
052;Legorreta;01;00;1489;765;724;1,057;20,4;56,4;23,2;2,6;5,2
01;1489;765;724;1,057;20,4;56,4;23,2;2,6;5,2
053;Lezo;01;00;6102;3049;3053;0,999;19,2;62,8;17,9;1,4;3,4
01;1971;968;1003;0,965;18;59,2;22,9;1,4;4
